,SF6
2064-11-16 00:00:00,27.971731
2064-12-16 12:00:00,28.005095
2065-01-16 12:00:00,28.033678
2065-02-15 00:00:00,28.056723
2065-03-16 12:00:00,28.07673
2065-04-16 00:00:00,28.125513
2065-05-16 12:00:00,28.203054
2065-06-16 00:00:00,28.229223
2065-07-16 12:00:00,28.173056
2065-08-16 12:00:00,28.21145
2065-09-16 00:00:00,28.298998
2065-10-16 12:00:00,28.356459
2065-11-16 00:00:00,28.416452
2065-12-16 12:00:00,28.449808
2066-01-16 12:00:00,28.478315
2066-02-15 00:00:00,28.501188
2066-03-16 12:00:00,28.52098
2066-04-16 00:00:00,28.570002
2066-05-16 12:00:00,28.648245
2066-06-16 00:00:00,28.674303
2066-07-16 12:00:00,28.616732
2066-08-16 12:00:00,28.655218
2066-09-16 00:00:00,28.743637
2066-10-16 12:00:00,28.801489
2066-11-16 00:00:00,28.861923
2066-12-16 12:00:00,28.89531
2067-01-16 12:00:00,28.923765
2067-02-15 00:00:00,28.946503
2067-03-16 12:00:00,28.96611
2067-04-16 00:00:00,29.015396
2067-05-16 12:00:00,29.09436
2067-06-16 00:00:00,29.120325
2067-07-16 12:00:00,29.061354
2067-08-16 12:00:00,29.09993
2067-09-16 00:00:00,29.189203
2067-10-16 12:00:00,29.247438
2067-11-16 00:00:00,29.308289
2067-12-16 12:00:00,29.341665
2068-01-16 12:00:00,29.370031
2068-02-15 00:00:00,29.392591
2068-03-16 12:00:00,29.41198
2068-04-16 00:00:00,29.461504
2068-05-16 12:00:00,29.541159
2068-06-16 00:00:00,29.567001
2068-07-16 12:00:00,29.50662
2068-08-16 12:00:00,29.54528
2068-09-16 00:00:00,29.635427
2068-10-16 12:00:00,29.694056
2068-11-16 00:00:00,29.75534
2068-12-16 12:00:00,29.788744
2069-01-16 12:00:00,29.817062
2069-02-15 00:00:00,29.83949
2069-03-16 12:00:00,29.85869
2069-04-16 00:00:00,29.908491
2069-05-16 12:00:00,29.988874
2069-06-16 00:00:00,30.014618
2069-07-16 12:00:00,29.95284
2069-08-16 12:00:00,29.9916
2069-09-16 00:00:00,30.08261
2069-10-16 12:00:00,30.141617
2069-11-16 00:00:00,30.203323
2069-12-16 12:00:00,30.236715
2070-01-16 12:00:00,30.264946
2070-02-15 00:00:00,30.287195
2070-03-16 12:00:00,30.306175
2070-04-16 00:00:00,30.356203
2070-05-16 12:00:00,30.437277
2070-06-16 00:00:00,30.462906
2070-07-16 12:00:00,30.399698
2070-08-16 12:00:00,30.438543
2070-09-16 00:00:00,30.530424
2070-10-16 12:00:00,30.589827
2070-11-16 00:00:00,30.651972
2070-12-16 12:00:00,30.685385
2071-01-16 12:00:00,30.713568
2071-02-15 00:00:00,30.735672
2071-03-16 12:00:00,30.754457
2071-04-16 00:00:00,30.804758
2071-05-16 12:00:00,30.886557
2071-06-16 00:00:00,30.912079
2071-07-16 12:00:00,30.847452
2071-08-16 12:00:00,30.886375
2071-09-16 00:00:00,30.979103
2071-10-16 12:00:00,31.038866
2071-11-16 00:00:00,31.101402
2071-12-16 12:00:00,31.134773
2072-01-16 12:00:00,31.162828
2072-02-15 00:00:00,31.18471
2072-03-16 12:00:00,31.203217
2072-04-16 00:00:00,31.253687
2072-05-16 12:00:00,31.3361
2072-06-16 00:00:00,31.361418
2072-07-16 12:00:00,31.295267
2072-08-16 12:00:00,31.334158
2072-09-16 00:00:00,31.427622
2072-10-16 12:00:00,31.48764
2072-11-16 00:00:00,31.550459
2072-12-16 12:00:00,31.583689
2073-01-16 12:00:00,31.611519
2073-02-15 00:00:00,31.633087
2073-03-16 12:00:00,31.65123
2073-04-16 00:00:00,31.701792
2073-05-16 12:00:00,31.784758
2073-06-16 00:00:00,31.809805
2073-07-16 12:00:00,31.74209
2073-08-16 12:00:00,31.78092
2073-09-16 00:00:00,31.875107
2073-10-16 12:00:00,31.935371
2073-11-16 00:00:00,31.998487
2073-12-16 12:00:00,32.031597
